text,preview
"
      Not just for bots: The changing career landscape in AI      ","
  
      The era of artificial intelligence is upon us. Here are some career pointers to keep up with these smart machines.  
"
"
      Grad school depression almost took me to the end of the road—but I found a new start      ","
  
      Mental health needs to be a priority, this grad student learned  
"
How to keep a lab notebook,
Grad student unions dealt blow as proposed new rule says students aren’t ‘employees’,
What do we know about Ph.D. scientists’ career paths?,
Three lessons from industry that I’m taking back to academia,
"
      ‘Apply for our science job!’ A guide to inane job ads      ","
  
      Our columnist breaks down the ridiculousness of most job postings  
"
"
      Moving internationally was tough—but I ended up finding my inner Wonder Woman      ","
  
      How a postdoc overcame the challenges of working in a new country  
"
"
      What can we learn from Dartmouth?      ","
  
      In light of the recent lawsuit against Dartmouth College, our columnist reflects on her graduate experience there and possible ways forward  
"
"
      To develop healthy coping skills during grad school, first I had to hit rock bottom      ","
  
      The pressures of grad school can make it seem like other parts of life don’t matter. They do  
"
"
      Publication history helps explain racial disparity in NIH funding      ","
  
      New study doesn’t eliminate possibility of bias during review but highlights a possible way to address the funding gap  
"
"
      Should you set out on your own as an independent consultant?      ","
  
      It can be a welcome alternative for those who prize independence, our columnist writes—but don’t ignore the tradeoffs  
"
"
      Spurred by sexual misconduct, grad student ‘zine’ documents efforts to improve department culture      ","
  
      Keys included open discussion and working collaboratively  
"
"
      Why I plan my career in pencil—not pen      ","
  
      After years of making and breaking plans, this grad student has embraced flexibility  
"
"
      NSF moves to pilot LGBT questions on national workforce surveys      ","
  
      The data could be used to inform diversity initiatives for LGBT scientists and engineers  
"
"
      To address sexual harassment in science, the past can inform the way forward      ","
  
      History shows how change can be made, our columnist writes  
"
"
      A social media survival guide for scientists      ","
  
      Our columnists share their tips for social media success  
"
"
      Meet Octopus, a new vision for scientific publishing      ","
  
      Alexandra Freeman hopes that her prize-winning pitch will help improve research culture  
"
"
      Semiretirement is treating me well—and it made room for a younger scientist      ","
  
      This professor’s research into faculty hiring was a wake-up call, for him and his institution  
"
"
      Happy Science-o-ween!      ","
  
      Our columnist’s advice for the perfect science Halloween costume  
"
"
      Top employers embrace change based on a stable foundation      ","
  
      Innovative. Respectful. Caring. Top biotechnology and pharmaceutical companies from this year’s survey share these traits plus one more: adaptable.  
"
"
      In my post-Ph.D. career, I’m putting my grad school angst to good use      ","
  
      A job as a university research integrity officer turned out to be the perfect fit  
"
"
      When you’re the only woman: The challenges for female Ph.D. students in male-dominated cohorts      ","
  
      Without peers of the same gender, female Ph.D. students are less likely to graduate, according to a new study  
"
"
      What I learned by leaving my comfort zone      ","
  
      This researcher was hesitant to go far from home, but working overseas turned out to be a rewarding experience  
"
"
      The best way to learn about issues on the career road ahead      ","
  
      There’s no app for it, our columnist writes, but your network can help offer some directions  
"
"
      Advice from researchers-turned-career-counselors for their younger selves—and today’s trainees      ","
  
      Three counselors share what they wished they had known  
"
"
      Making myself visible as a grad student parent      ","
  
      How one researcher is advocating for more support for grad student parents  
"
"
      Why World Mental Health Day matters for scientists      ","
  
      Conversations about mental health in academia are a step in the right direction  
"
"
      How I got through my publication drought      ","
  
      During his Ph.D., this postdoc learned more than what his publication record shows  
"
"
      A suspenseful (fictional) look at women in the lab      ","
  
      Our columnist reviews a new novel that explores the lives of postdocs in a prestigious university lab  
"
"
      Like virtual reality for careers: A new online resource helps scientists explore job options      ","
  
      Scientists can try their hands at realistic job tasks for a range of professions  
"
How to keep a lab notebook,
Grad student unions dealt blow as proposed new rule says students aren’t ‘employees’,
What do we know about Ph.D. scientists’ career paths?,
Three lessons from industry that I’m taking back to academia,
"
      Breaking the silence around mental health      ","
  
      For this grad student, speaking publicly about mental health was scary but worth it  
"
"
      Applying for a Ph.D.? These 10 tips can help you succeed      ","
  
      Our Letters to Young Scientists columnists offer their advice  
"
"
      For supporting postdocs, the U.K. is helping to lead the way—but more progress is needed      ","
  
      A new report highlights how things have improved, and the work that is still to be done  
"
"
      When considering a career change, don't be afraid to seek out new perspectives      ","
  
      Reaching out can help you tackle big decisions, this scientist writes  
"
"
      Confessions of a former grade grubber      ","
  
      It’s about justice, our columnist writes—sometimes, at least  
"
"
      Why this postdoc is working to make venomous snake research safer and more inclusive      ","
  
      Talia Moore is receiving an award for her work as part of National Postdoc Appreciation Week  
"
"
      These books can offer career guidance and inspiration      ","
  
      Nine scientists offer their recommendations for our back-to-school reading list  
"
"
      Beyond government grants: Widening your funding net      ","
  
      Scientists are becoming more creative with how and where they get their research funding.  
"
"
      Learning to balance my strengths and vulnerabilities as a leader      ","
  
      For this grad student, participating in an entrepreneurship competition offered valuable lessons in leadership  
"
"
      Develop your career label so that it works in your favor      ","
  
      During the job search, your experience will be boiled down to a simple label. Make sure yours matches your long-term goals  
"
"
      How to find the right place for your Ph.D. or postdoc      ","
  
      Researchers share their advice for approaching this important decision  
"
"
      Experimental technique isn't my strong suit, but I can still be a scientist      ","
  
      How one grad student learned what it really means to be a scientist  
"
"
      These studies offer a realistic view of postdoc life—and guidance for making career decisions that work for you      ","
  
      Data about postdocs are sparse, but two recent studies are encouraging, our columnist writes  
"
"
      The surprises of starting as a new PI      ","
  
      What four researchers learned in the transition from lab member to lab head  
"
"
      Cities offer great postdoc opportunities—but make sure you factor in the cost of living      ","
  
      Postdoc salaries in Wyoming have $30,000 more buying power than postdoc salaries in San Francisco, California  
"
"
      A unique calling: Careers in career development for STEM doctorates      ","
  
      An emerging career choice for STEM doctorates includes counseling other STEM doctorates about their careers.
  
"
"
      I thought I was taking a career detour, but it turned out to be a shortcut      ","
  
      Managing a conservation area didn’t seem like a step toward a faculty career, but it paid off
  
"
"
      Three reminders to help you thrive—not merely survive—in grad school      ","
  
      These tips from our columnist will make handling the inevitable challenges a little easier  
"
"
      Introducing ‘Letters to Young Scientists,’ a new column from ","
  
      Our new series will offer training and career advice from within academia  
"
"
      I find my inspiration in the outdoors. Whatever moves you, make it a priority      ","
  
      Making time for activities that bring you rejuvenation is crucial, this researcher writes  
"
"
      Welcome to the lab      ","
  
      Our columnist reflects on the challenges of getting started in a new lab  
"
"
      Stepping up to the podium: Wrestling with impostor syndrome as a teacher      ","
  
      Being in front of a class can trigger insecurities, but it’s also an opportunity to make a difference, this lecturer writes  
"
"
      Four lessons for starting a research lab      ","
  
      With the start of the academic year around the corner, an assistant professor shares advice from senior academics  
"
"
      Three key elements of a successful job search mindset      ","
  
      Adopting the right mentality is crucial, our columnist writes  
"
"
      This board-game style tool can help you land on a winning career      ","
  
      It’s designed to keep you moving, even if you decide a particular career isn’t right for you  
"
How to keep a lab notebook,
Grad student unions dealt blow as proposed new rule says students aren’t ‘employees’,
What do we know about Ph.D. scientists’ career paths?,
Three lessons from industry that I’m taking back to academia,
"
      Why I don't use Instagram for science outreach      ","
  
      Women shouldn't have to shoulder the burden of solving gender inequality on social media, this grad student writes  
"
"
      STEM is losing male LGBQ undergrads      ","
  
      But female LGBQ students are more likely than their heterosexual peers to stay in STEM, a survey of college seniors across the United States reveals  
"
"
      The little add-ons that add up to a standout CV      ","
  
      To get your resume noticed, these small things can have a big impact  
"
"
      Academia was right for my father, but not for me      ","
  
      A family conversation about the nature of academic research  
"
"
      A trend toward transparency for Ph.D. career outcomes?       ","
  
      February saw some positive steps toward addressing a long-standing problem, our columnist writes  
"
"
      Graduate students need more mental health support, study highlights      ","
  
      Anxiety and depression are six times more prevalent among graduate students than the general population  
"
"
      What I learned from my year as a fed      ","
  
      Working for the federal government is about more than just acronyms, this researcher discovered  
"
"
      Collaborating for the win      ","
  
      These examples highlight the elements of successful collaborations and pinpoint some pitfalls to avoid  
"
"
      Crowdsourcing goes academic with platforms for reviewing advisers      ","
  
      Founders aim to help students and postdocs find the right mentor for them  
"
"
      How I learned to ask for help while maintaining my independence      ","
  
      A grad student’s ""sabbatical"" helped her find the right balance  
"
"
      Because a scientist says so      ","
  
      With the power of a science degree comes great responsibility  
"
"
      Got milk? When packing for a conference requires remembering the breast pump      ","
  
      To make academia more inclusive, level the playing field for parents  
"
"
      Find your sweet spot for work-life balance      ","
  
      A successful career should leave room for your personal life to blossom too, our columnist writes  
"
"
      Building community as a career      ","
  
      Community management offers a variety of opportunities for scientists who want to extend their impact beyond the bench  
"
"
      Celebrating women in science      ","
  
      For the International Day of Women and Girls in Science, female researchers reflect on their experiences  
"
"
      Doing my part to combat climate change      ","
  
      How one researcher figured out how to satisfy his scientific interests and his desire to help the world  
"
"
      A hot opportunity for early-career scientists in wintry Finland      ","
  
      It’s a funding program unlike any she’s ever heard of, our columnist writes  
"
"
      How I learned to pursue my career at my own pace      ","
  
      Taking up running helped this scientist see her career in a new way  
"
"
      Immerse yourself for intensive learning      ","
  
      Boot camps, summer schools, and retreats can enrich your training  
"
"
      For postdocs looking to break into entrepreneurship, this MIT fellowship is helping light the way      ","
  
      The pioneering program supports postdocs as they explore commercializing their work  
"
"
      Do I make myself clear? Media training for scientists      ","
  
      Media savviness previously consisted of on-the-job training. Now, more universities and organizations are offering programs to help scientists get their message across to the public.  
"
"
      My adviser went on sabbatical, and it changed the way I look for mentorship      ","
  
      How a postdoc learned to leverage a mentoring team  
"
"
      Thoughts from a seminar      ","
  
      Our columnist shares an all-too-relatable experience of attending scientific talks  
"
"
      From parade ground to principal investigator      ","
  
      This scientist learned to be a leader by serving in the army  
"
"
      Learn the rules of the road to land that industry job      ","
  
      Understanding three types of rules can help guide your job search  
"
How to keep a lab notebook,
Grad student unions dealt blow as proposed new rule says students aren’t ‘employees’,
What do we know about Ph.D. scientists’ career paths?,
Three lessons from industry that I’m taking back to academia,
"
      Branching out from my area of expertise felt risky—but I did it anyway      ","
  
      For this assistant professor, trying something new midway to her tenure review was the right move  
"
"
      Share your science with a story      ","
  
      In this Career Fable, our columnists offer advice for telling compelling scientific tales  
"
"
      Racial and gender biases plague postdoc hiring      ","
  
      Changing the name on a CV affects how physics and biology faculty members view theoretical applicants, according to a new study  
"
"
      Many scientist parents travel for work. We need more support      ","
  
      As a single parent, paying for my child’s travel expenses has become untenable. Institutions, funding agencies, and conferences can help  
"
"
      A wave of graduate programs drops the GRE application requirement      ","
  
      Amid concerns about diversity and the test’s predictive value, an increasing number of science Ph.D. programs are joining the ""GRExit"" movement, according to our investigation  
"
"
      School’s (somewhat) out for summer: Five tips to help academics make the most of the season      ","
  
      In this month’s Letter to Young Scientists, our columnists discuss summer’s rewards and pitfalls for academics  
"
"
      Being open about my multiple sclerosis helps me be a better advocate      ","
  
      Being public about her diagnosis and prioritizing her health are important elements in this scientist’s efforts to advocate for members of marginalized groups  
"
"
      Let’s go to a conference!      ","
  
      In this month’s Experimental Error, our columnist offers some tips to prepare for conferences  
"
"
      To fashion your unicorn career, speak up about your passions, value, and objectives      ","
  
      In this installment of Your Unicorn Career, our columnist explains why you should talk about yourself and how to do it professionally and effectively  
"
"
      Training awards increasingly important for future funding and landing a faculty job      ","
  
      A growing proportion of first-time NIH R01 recipients have also received a prior training grant, according to a recent study  
"
"
      I felt lost in a new academic culture. Then I learned about the hidden curriculum      ","
  
      Navigating unspoken norms and expectations was a challenge for this international student, but she eventually found the support she needed  
"
"
      Why some climate scientists are saying no to flying      ","
  
      Limiting air travel to reduce carbon footprint works for some academics, but not everyone is onboard  
"
"
      How I became easy prey to a predatory publisher      ","
  
      Pressure to publish and an unfortunately timely email led this assistant professor astray  
"
"
      Early-career researchers commonly ghostwrite peer reviews. That’s a problem      ","
  
      Our Taken for Granted columnist discusses a new report about the practice—and recommendations for reform    
"
"
      Scientists’ grant writing styles vary by gender. That can lead to bias      ","
  
      Women use narrower, topic-specific language in proposals and receive lower reviewer scores, according to a new study  
"
"
      My singing and research were at odds—until I restored the harmony between them      ","
  
      How a grad student balanced his musical pursuits and his Ph.D. research  
"
"
      Want to become a better mentor? Ask for anonymous feedback      ","
  
      Opening yourself up to constructive criticism can be scary, but the benefits are worth it  
"
"
      Bribes, lies, and Photoshop: What science should learn from the college admissions scandal      ","
  
      Our Experimental Error columnist reflects on wealth and privilege in science  
"
"
      How I recovered from tenure-track burnout      ","
  
      A sabbatical helped this professor reconnect with her community and reinvigorate her research
  
"
"
      Three tips for giving a great research talk      ","
  
      In this Letter to Young Scientists, our columnists share advice for communicating your research clearly and compellingly  
"
"
      Think you can’t negotiate your job offer or postdoc position? Think again      ","
  
      Advice for early-career researchers from a negotiation expert  
"
"
      Renowned fellowships aren’t the only option      ","
  
      After a rejection from the coveted NSF graduate fellowship, this student broadened his approach  
"
"
      In interviews, it’s not about 'right' answers. It’s about being yourself      ","
  
      This doctor learned that authenticity was the best path to success  
"
"
      Working mothers face a ‘wall’ of bias—but there are ways to push back      ","
  
      It’s something that “no one prepares you for,” as one faculty member and mother puts it  
"
"
      You’ve accomplished more than you think      ","
  
      Ph.D. students and postdocs have lots to offer potential employers, even if they don’t recognize it, our advisers counsel in this Career Fable  
"
How to keep a lab notebook,
Grad student unions dealt blow as proposed new rule says students aren’t ‘employees’,
What do we know about Ph.D. scientists’ career paths?,
Three lessons from industry that I’m taking back to academia,
"
      Choose your own indenture: You are a prospective grad student      ","
  
      When it comes to choosing a grad school, there are a lot of factors to consider  
"
"
      Should you go to grad school?      ","
  
      A doctoral program is a serious commitment, so prospective students need to weigh their options  
"
"
      Five reasons to leave your science bubble      ","
  
      Inspiration—and career opportunities—can come not only from the lab, but from other interests, such as food, dance, theater, and even policy work.  
"
"
      Updated: Biomedical Ph.D. program at major research university drops GRE requirement for admission      ","
  
      The University of Michigan Program in Biomedical Sciences will stop requesting GRE scores starting with next year’s admission cycle  
"
"
      Soak up the rest of summer      ","
  
      This end-of-summer reading will help you make the most of the last few weeks of the season while we take a short break  
"
"
      Use the power of persuasion to boost your job hunt      ","
  
      Even if you’re uncomfortable “selling"" yourself, these tips will help you unleash your persuasive potential  
"
"
      The toll of short-term contracts      ","
  
      As a new French report highlights, early-career researchers face significant challenges landing permanent academic positions—but there may also be some rays of hope  
"
"
      Who counts as an inventor? The answer could be worth millions      ","
  
      A postdoc suing over exclusion from patents offers a lesson for anyone working on potentially lucrative research  
"
"
      From computation to the ocean, a scientist finds his fit      ","
  
      How an oceanographer's technology background brings his whale watching to the next level  
"
"
      Should you consider another degree after your Ph.D.?      ","
  
      For post-Ph.D. career changers, going back to school can be beneficial, but prospective students also need to consider the costs  
"
"
      What comes after a Ph.D.? Check out the data      ","
  
      Last month’s Survey of Earned Doctorates report highlights job commitment trends and salaries for recent graduates   
"
"
      Another tenure-track scientist bites the dust      ","
  
      As a friend’s faculty career comes to an untimely end, our columnist reflects on the potential disconnect between what researchers want to research and what funders want to fund   
"
"
      The need for speed in today's job search environment      ","
  
      These tips will help you keep pace with fast-moving employers   
"
"
      Many postdocs face challenges securing parental leave, new report highlights      ","
  
      Navigating leave policies can be tricky, so postdocs need to be proactive and investigate all their resources   
"
"
      A novel look at graduate school      ","
  
      A fictional scientist’s struggles reveal much that is real about being a doctoral student   
"
"
      What does it mean to be called a 'trainee'?       ","
  
      The ‘trainee’ designation has broad implications, noted speakers at the Future of Biomedical Graduate and Postdoctoral Training meeting earlier this month   
"
"
      Through internships, Ph.D. students expand their skills and explore their options      ","
  
      As internship opportunities expand, doctoral candidates reap the benefits   
"
"
      Look, kids! Science!      ","
  
      Science demonstrations—even if they don’t show what scientists actually do—are surprisingly effective, our columnist learns   
"
"
      Congress says your work is wasteful. Now what?      ","
  
      Being listed in a “Wastebook” can be scary, but researchers come out unscathed—and find that it can actually be a useful learning experience  
"
"
      Job search ethics: The good, the bad, and the ugly      ","
  
      This advice from our columnist will help you navigate the ethical pitfalls that can arise when you're looking for a job  
"
"
      Say ‘yes, and’ to communication      ","
  
      Improv exercises can help scientists improve their public speaking skills  
"
"
      GREs don't predict grad school success. What does?      ","
  
      It’s time to look beyond supposedly objective metrics, our columnist writes  
"
"
      Why it might be a good time to start a career in science      ","
  
      The author of a new study of biomedical funding explains why he’s optimistic about young scientists’ futures  
"
"
      The benefits of awards—even if you don’t win      ","
  
      Putting together applications and seeking nominations can bring their own professional rewards  
"
"
      Female authors get fewer citations in astronomy      ","
  
      Papers with female first authors receive 10% fewer citations than comparable work published by men, according to a new study  
"
How to keep a lab notebook,
Grad student unions dealt blow as proposed new rule says students aren’t ‘employees’,
What do we know about Ph.D. scientists’ career paths?,
Three lessons from industry that I’m taking back to academia,
"
      I'm your mentor, not your mother      ","
  
      A professor describes how gendered expectations interfere with her role as an adviser  
"
"
      Consulting on the side can satisfy scientists' appetite for something more      ","
  
      A new startup and existing organizations can help you get started  
"
"
      I felt unprepared to be a mentor—but it was time to pay it forward      ","
  
      How a researcher’s experience as a mentee shaped her approach to mentoring  
"
"
      Rosalind Franklin and the damage of gender harassment      ","
  
      Spurred by a recent report on sexual harassment in academia, our columnist revisits a historical case and reflects on what has changed—and what hasn’t  
"
"
      How to talk to recruiters as an early-career researcher—and why you should      ","
  
      The career development professional who arranged meetings between academics and recruiters at the EuroScience Open Forum shares some tips  
"
"
      PIs need to help postdocs develop their careers      ","
  
      At the EuroScience Open Forum, a research group leader discussed PIs’ responsibilities to their postdocs—and what postdocs can do to help themselves  
"
"
      A crack in the wall: French scientists explore novel employment model beyond academia      ","
  
      Working as part of a cooperative offers a balance of independence and security  
"
"
      What I've learned from my learning disabilities      ","
  
      Learning disabilities present challenges, but they’re not insurmountable—and can even offer rewards  
"
"
      Do you believe in life after lab?       ","
  
      Pursuing extracurricular interests shouldn't be a crime, our columnist writes  
"
"
      Women ask fewer questions than men at conference talks, new studies suggest      ","
  
      Even when women made up the majority of the audiences, they asked disproportionately fewer questions  
"
"
      Top employers 2017: High marks for innovation, long-term vision, and social responsibility      ","
  
      In its 15th year, Top Employers continues to celebrate companies that prioritize innovation, a positive work culture, and social responsibility.  
"
"
      Patients are partners in the fight against cancer      ","
  
      Two grad students describe how building a partnership with the cancer community enriched their research  
"
"
      This Chicana chemist is paying it forward to support students from underrepresented groups      ","
  
      Her own winding career path highlights the importance of mentorship  
"
"
      Faculty careers can progress in many directions      ","
  
      A new study highlights the variety of productivity trajectories among faculty members in computer science  
"
"
      Being my own biggest advocate      ","
  
      How this grad student is getting comfortable with self-promotion  
"
"
      Recommendations for requesting recommendations      ","
  
      Our columnist offers some tips for getting good recommendation letters  
"
"
      Talking about mental health—and addressing the challenges that many academics face      ","
  
      A speaker from this year’s EuroScience Open Forum shares his advice  
"
